CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8983_1_ARS,Swab1-163,8983,1,ARS,Swab,2,107,Second,Swab_Second,0.6227757,83.4,Mid,Middle,Second,Second.Middle,25035,,,,,
8669_1_ARS,Swab1-164,8669,1,ARS,Swab,2,74,Second,Swab_Second,0.3934506,103,Mid,Early,Second,Second.Early,26547,,,,,
8887_1_ARS,Swab1-165,8887,1,ARS,Swab,2,202,Second,Swab_Second,0.4253106,76.8,Mid,Late,Second,Second.Late,23753,8/26/2019,23.7,22.9,-1.9,1.0454545
8736_1_ARS,Swab1-167,8736,1,ARS,Swab,1,301,First,Swab_First,0.3759024,88.6,Mid,Late,First,First.Late,19658,,,,,
8828_1_ARS,Swab1-168,8828,1,ARS,Swab,1,200,First,Swab_First,0.4058506,85.9,Mid,Middle,First,First.Middle,21922,,,,,
8959_1_ARS,Swab1-169,8959,1,ARS,Swab,2,106,Second,Swab_Second,0.4597161,98.1,Mid,Middle,Second,Second.Middle,191478,,,,,
8719_1_ARS,Swab1-170,8719,1,ARS,Swab,1,358,First,Swab_First,0.4522286,92.1,Mid,Late,First,First.Late,69033,,,,,
8829_1_ARS,Swab1-171,8829,1,ARS,Swab,1,176,First,Swab_First,0.3998992,94.1,Mid,Middle,First,First.Middle,15786,,,,,
8447_1_ARS,Swab1-173,8447,1,ARS,Swab,2,277,Second,Swab_Second,0.3942431,61,Low,Late,Second,Second.Late,20653,,,,,
8926_1_ARS,Swab1-175,8926,1,ARS,Swab,1,182,First,Swab_First,0.4206467,63.5,Low,Middle,First,First.Middle,12824,,,,,
8604_1_ARS,Swab1-176,8604,1,ARS,Swab,2,122,Second,Swab_Second,0.4409945,91.3,Mid,Middle,Second,Second.Middle,22767,,,,,
8993_1_ARS,Swab1-177,8993,1,ARS,Swab,1,82,First,Swab_First,0.42056,101,Mid,Early,First,First.Early,20756,,,,,
8923_1_ARS,Swab1-178,8923,1,ARS,Swab,1,121,First,Swab_First,0.571931,84,Mid,Middle,First,First.Middle,21317,,,,,
